id;name;energy,calculated (kJ);fat, total (g);carbohydrate, available (g);protein, total (g);alcohol (g);organic acids, total (g);sugar alcohols (g);sugars, total (g);fructose (g);galactose (g);glucose (g);lactose (g);maltose (g);sucrose (g);starch, total (g);fibre, total (g);fibre, water-insoluble (g);polysaccharides, non-cellulosic, water-soluble (g);fatty acids, total (g);fatty acids, total polyunsaturated (g);fatty acids, total monounsaturated cis (g);fatty acids, total saturated (g);fatty acids, total trans (g);fatty acids, total n-3 polyunsaturated (g);fatty acids, total n-6 polyunsaturated (g);fatty acid 18:2 cis,cis n-6 (linoleic acid) (mg);fatty acid 18:3 n-3 (alpha-linolenic acid) (mg);fatty acid 20:5 n-3 (EPA) (mg);fatty acid 22:6 n-3 (DHA) (mg);cholesterol (GC) (mg);sterols, total (mg);calcium (mg);iron, total (mg);iodide (iodine) (µg);potassium (mg);magnesium (mg);sodium (mg);salt (mg);phosphorus (mg);selenium, total (µg);zinc (mg);tryptophan (mg);folate, total (µg);niacin equivalents, total (mg);niacin, preformed (nicotinic acid + nicotinamide) (mg);vitamers pyridoxine (hydrochloride) (mg);riboflavine (mg);thiamin (vitamin B1) (mg);vitamin A  retinol activity equivalents (µg);carotenoids, total (µg);vitamin B-12 (cobalamin) (µg);vitamin C (ascorbic acid) (mg);vitamin D (µg);vitamin E  alphatocopherol (mg);vitamin K, total (µg)
11005;4-Grain Flakes;1404;3.4;58.8;11.1;0;0;0;1.3;0.2;0;0.1;0;0.2;0.8;57.5;11.5;7.9;1.3;2.7;1.3;0.9;0.5;0;<0.1;1.2;1243;83;0;0;0;68.2;30.0;4.1;20.0;396.0;109.0;5.0;12.7;327.8;8.8;2.9;150.0;39.8;5.2;2.7;0.33;0.10;0.24;0.2;195.8;0;0;0;0.4;3.20
35146;4-Grain Flakes, Gluten Free;1569;4.6;68.4;10.9;0;0;0;0.9;<0.1;0;<0.1;0;<0.1;0.6;67.5;6.1;3.1;0.7;4.2;1.8;1.6;0.8;0;<0.1;1.7;1729;65;0;0;0;39.7;27.5;3.5;11.9;283.0;97.2;87.8;223.6;306.9;10.3;2.6;147.3;29.1;3.8;1.4;0.20;0.08;0.22;1.7;361.4;0;0;0;0.5;1.28
32570;4-Grain Flakes, Riihikosken Vehnämylly;1443;4.1;59.0;11.6;0;0;0;1.3;0.1;0;0.1;0;0.2;0.8;57.7;11.2;7.2;1.3;3.5;1.6;1.2;0.7;0;<0.1;1.5;1518;84;0;0;0;62.7;33.4;4.2;20.0;399.6;115.6;3.2;8.2;356.4;9.4;3.0;162.0;40.6;5.0;2.3;0.20;0.08;0.24;0.2;148.1;0;0;0;0.7;2.98
379;Almond;2517;51.2;6.6;24.1;0;N/A;0;6.6;0.5;N/A;0.3;0;0;5.8;0;12.5;6.9;0.3;49.0;12.2;32.7;4.1;0;0.3;11.9;11932;270;0;0;0;138.5;276.0;5.2;5.0;740.0;278.0;1.0;2.5;490.0;4.0;3.3;237.0;48.0;8.0;4.0;0.06;0.70;0.25;0.2;4.0;0;0.5;0;26.4;0.30
34844;Almond Drink, Sweetened, Alrpo;100;1.0;3.0;0.5;0;0;0;3.0;<0.1;0;<0.1;0;0;3.0;0;0.2;0.1;<0.1;1.0;0.2;0.7;<0.1;0;<0.1;0.2;239;5;0;0;0;2.8;120.0;0.1;0.3;14.9;5.6;49.9;127.0;9.8;0.1;<0.1;4.7;1.0;0.2;<0.1;<0.01;0.21;<0.01;<0.1;<0.1;0.4;<0.1;0.8;1.8;<0.01
34738;Almond Drink, Unsweetened, Alrpo;50;1.0;0.1;0.5;0;0;0;0.1;<0.1;0;<0.1;0;0;0.1;0;0.2;0.1;<0.1;1.0;0.2;0.7;<0.1;0;<0.1;0.2;239;5;0;0;0;2.8;120.0;0.1;0.2;14.9;5.6;49.9;127.1;9.8;0.1;<0.1;4.7;1.0;0.2;<0.1;<0.01;0.21;<0.01;<0.1;<0.1;0.4;<0.1;0.8;1.8;<0.01
31237;Amaranth Flakes;1545;7.0;59.0;13.6;0;0;0;1.7;<0.1;0;0.3;0;<0.1;1.4;57.3;6.7;N/A;N/A;6.4;2.8;2.1;1.5;0;<0.1;2.7;2736;84;0;0;0;24.0;17.0;1.8;N/A;353.0;25.0;35.0;89.2;331.0;70.7;0.2;181.0;82.0;5.6;2.6;0.07;0.11;0.07;<0.1;29.0;0;2.5;0;1.2;0
829;Anchovy;1076;11.4;9.6;28.9;0;N/A;N/A;9.6;0;N/A;0;0;0;9.6;0;0;0;0;10.2;3.0;4.2;3.0;0;2.7;0.2;175;146;768;1498;66.7;0;90.0;2.1;45.0;190.0;13.0;4140.0;10548.7;100.0;68.0;1.8;324.0;16.0;7.6;2.2;0.18;0.20;0.02;14.9;0;11.0;0;5.7;1.0;1.35
35606;Angelica;196;0.3;3.0;3.9;0;N/A;N/A;0.9;N/A;N/A;N/A;0;N/A;N/A;2.0;8.6;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;246.0;0.7;N/A;838.0;33.0;0.7;1.8;87.0;0.5;0.4;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;103.0;0;N/A;N/A
28916;Apple, Average, With Skin;155;<0.1;7.7;0.2;0;0.4;0;7.6;4.0;0;1.1;0;0;2.4;<0.1;1.6;1.0;0.6;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;27;7;0;0;0;15.9;3.9;<0.1;1.0;99.2;3.7;0.8;2.0;7.8;<0.1;<0.1;3.9;2.5;0.2;<0.1;0.05;0.01;0.01;2.2;70.7;0;5.2;0;0.2;1.74
11060;Apple, Domestic, Without Skin;170;0.1;8.3;0.2;0;0.5;0;8.2;4.4;0;1.0;0;0;2.8;0.1;1.8;1.1;0.7;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;38;10;0;0;0;18.3;5.0;0.1;1.1;108.0;4.5;0.9;2.3;9.0;<0.1;<0.1;6.0;2.9;0.2;0.1;0.06;0.01;0.02;1.4;70.8;0;8.0;0;0.2;2.00
28941;Apple, Domestic, With Skin;148;<0.1;7.2;0.2;0;0.5;0;7.1;3.8;0;0.9;0;0;2.4;<0.1;1.6;1.0;0.6;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;33;9;0;0;0;18.3;4.3;<0.1;1.0;94.0;3.9;0.8;2.0;7.8;<0.1;<0.1;5.2;2.5;0.2;<0.1;0.05;0.01;0.01;1.2;61.6;0;7.0;0;0.2;5.00
401;Apple, Dried;1157;0.3;60.2;1.0;0;2.7;0;60.2;31.7;0;8.6;0;0;19.9;0;8.7;5.6;4.7;0.3;0.2;<0.1;<0.1;0;<0.1;0.2;172;43;0;0;0;101.7;38.0;1.1;0;750.0;32.0;6.1;15.5;54.0;0.3;0.2;12.0;0;0.8;0.6;0.18;0.16;0;1.0;262.0;0;3.9;0;0.5;11.11
11061;Apple, Imported, Without Skin;187;0.1;9.4;0.2;0;0.4;0;9.3;4.9;0;1.6;0;0;2.8;0.1;1.8;1.1;0.7;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;24;5;0;0;0;18.3;4.0;<0.1;1.1;120.0;4.0;0.9;2.3;9.0;<0.1;<0.1;3.0;2.9;0.1;0.1;0.05;0.01;0.02;3.7;91.8;0;4.0;0;0.2;2.00
28942;Apple, Imported, With Skin;163;<0.1;8.2;0.2;0;0.4;0;8.1;4.3;0;1.4;0;0;2.4;<0.1;1.6;1.0;0.6;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;21;4;0;0;0;18.3;3.5;<0.1;1.0;104.4;3.5;0.8;2.0;7.8;<0.1;<0.1;2.6;2.5;0.1;<0.1;0.04;0.01;0.01;3.2;79.9;0;3.5;0;0.2;5.00
33269;Apple Chips;1354;0.8;68.0;1.0;0;2.7;0;67.3;31.1;0;8.4;0;0;19.5;0;15.1;5.5;4.6;0.3;0.2;<0.1;<0.1;0;<0.1;0.2;170;42;0;0;0;100.0;37.9;1.1;<0.1;738.2;31.6;0;0;53.3;0.3;0.2;11.9;0.2;0.8;0.6;0.18;0.16;<0.01;1.0;257.1;0;4.8;0;0.5;10.89
4002;Apple Crisp Delight, Apple, Oat Flakes;650;7.2;19.7;1.7;0;0.3;0;13.2;3.2;0;0.9;<0.1;<0.1;9.0;6.5;2.3;1.2;0.6;6.8;0.9;2.2;3.4;<0.1;0.1;0.8;744;122;0;0;7.6;26.0;9.6;0.6;3.4;124.4;18.6;43.4;110.6;59.4;1.4;0.4;26.4;6.9;0.6;0.2;0.05;0.02;0.05;64.5;92.5;0;4.1;0.3;0.6;4.69
31459;Apple Jam;724;<0.1;42.0;<0.1;0;0.2;0;42.0;1.6;0;0.5;0;0;39.9;<0.1;0.6;0.4;0.2;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;11;3;0;0;0;6.4;2.4;<0.1;2.4;40.5;1.5;0.6;1.4;3.2;0.2;<0.1;1.6;1.0;<0.1;<0.1;0.02;<0.01;<0.01;0.9;28.3;0;2.1;0;<0.1;0.70
433;Apple Juice, Unsweetened, Vitamin C;209;0.5;10.7;0.2;0;0.4;0;10.7;6.1;N/A;3.1;0;0;1.5;0;0;0;0;0.4;0.3;<0.1;<0.1;0;<0.1;0.3;273;24;0;0;0;6.0;9.0;0.1;1.0;110.0;5.0;3.6;9.2;6.0;0.2;<0.1;20.6;4.0;3.5;3.2;0.06;0.03;0.04;0;16.0;0;30.0;0;0;0.10
4001;Apple Kissel, Apple Soup, Dried Apples;258;<0.1;14.2;0.1;0;0.3;0;11.5;3.7;0;1.0;0;<0.1;6.8;2.7;1.1;0.7;0.6;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;20;5;0;0;0;11.8;7.7;0.2;1.2;89.3;4.0;1.7;4.4;9.0;0.1;<0.1;1.5;0.6;<0.1;<0.1;0.02;0.01;0;0.1;30.5;0;0.3;0;<0.1;1.29
4000;Apple Kissel, Apple Soup, Fresh Apples;141;<0.1;7.7;<0.1;0;0.2;0;6.1;1.8;0;0.5;0;<0.1;3.9;1.6;0.7;0.4;0.3;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;12;3;0;0;0;6.9;3.9;<0.1;1.1;44.4;1.8;1.0;2.7;4.9;<0.1;<0.1;1.8;1.4;<0.1;<0.1;0.02;<0.01;<0.01;1.0;30.8;0;2.3;0;<0.1;0.76
32052;Apple Pie, Basic Sweet Dough, Gluten-Free, Contains Wheat Starch And Milk;1006;5.0;44.4;3.1;0;0.2;0;17.3;1.7;<0.1;0.6;3.7;0;11.2;27.2;1.5;0.5;0.3;4.7;0.7;1.8;2.1;<0.1;0.2;0.5;491;188;0;3;14.6;20.9;98.3;0.2;19.7;177.4;11.2;169.3;431.3;84.7;2.5;0.5;45.8;24.4;1.1;0.3;0.06;0.20;0.04;24.4;61.3;0.3;1.5;0.6;0.6;3.93
1170;Apple Pie, Basic Sweet Dough, Low-Fat Milk;1013;4.4;42.8;6.0;0;0.2;0;11.6;1.3;0;0.4;0.7;0.4;8.9;31.2;2.1;1.5;0.6;4.0;0.6;1.2;2.0;<0.1;<0.1;0.5;539;76;0;3;16.3;30.8;28.3;0.5;11.7;131.8;16.0;83.3;212.4;76.4;5.8;0.5;71.9;21.6;1.6;0.6;0.08;0.09;0.05;42.4;57.4;0.1;1.8;0.4;0.5;2.65
32054;Apple Pie, Basic Sweet Dough, Naturally Gluten-Free, Contains Milk;936;5.2;38.5;3.1;0;0.2;0;13.3;1.8;<0.1;0.7;1.0;<0.1;9.6;24.6;4.2;2.2;1.7;5.0;0.9;1.9;2.1;<0.1;0.2;0.7;660;196;0;3;13.7;24.7;32.1;0.6;15.2;137.1;21.8;141.6;360.7;74.1;4.0;0.5;35.4;28.4;1.4;1.0;0.14;0.10;0.06;25.6;266.1;0.1;1.2;0.6;0.6;4.24
32333;Apple Pie, Basic Sweet Dough, Whole Milk;1028;4.7;43.0;6.1;0;0.2;0;11.7;1.3;0;0.4;0.7;0.4;8.9;31.3;2.1;1.5;0.6;4.2;0.7;1.2;2.2;<0.1;<0.1;0.6;545;77;0;3;17.0;31.0;29.0;0.5;11.7;133.8;16.1;84.2;214.5;76.8;5.8;0.5;72.3;22.0;1.6;0.6;0.08;0.09;0.05;44.7;58.6;0.1;1.8;0.4;0.5;2.72
1183;Apple Pie, Shortbread Crust;839;8.9;26.3;2.7;0;0.3;0;15.3;2.7;0;0.8;<0.1;0.1;11.7;11.0;1.6;1.0;0.5;8.3;1.0;2.6;4.4;0.1;0.2;0.8;731;151;0;6;31.4;29.6;10.7;0.3;5.4;98.9;7.8;62.0;158.1;37.5;3.6;0.2;35.2;7.5;0.7;0.2;0.05;0.04;0.03;96.2;112.5;0.1;3.5;0.5;0.8;5.33
31989;Apple Pie, Shortbread Crust, Gluten-Free, Contains Wheat Starch;947;9.0;33.2;1.9;0;0.3;0;19.1;3.4;<0.1;1.1;1.4;0;13.2;14.1;1.7;0.8;0.5;8.5;1.4;3.4;3.6;0.1;0.4;1.0;957;363;0;6;28.9;40.7;103.8;0.2;7.9;137.0;7.1;122.8;313.0;91.2;2.6;0.2;28.8;6.6;0.5;<0.1;0.05;0.09;0.02;44.8;122.8;0.2;2.1;0.8;1.1;7.51
32053;Apple Pie, Shortbread Crust, Naturally Gluten-Free;910;9.1;30.1;1.9;0;0.3;0;17.1;3.4;<0.1;1.2;<0.1;<0.1;12.4;12.8;3.1;1.6;1.2;8.6;1.5;3.4;3.6;0.1;0.4;1.1;1043;367;0;6;28.5;42.6;70.0;0.4;5.7;116.4;12.5;108.7;277.0;85.8;3.4;0.2;23.5;8.6;0.7;0.4;0.09;0.04;0.03;45.4;227.3;0.1;1.9;0.8;1.1;7.66
31694;Apple Pie, Shortbread Crust With Sour Milk;1323;11.5;47.7;4.0;0;0.2;0;25.3;1.5;<0.1;0.5;0.5;0.3;22.5;22.1;2.1;1.1;0.5;10.8;1.9;4.2;4.5;0.2;0.5;1.4;1361;480;0;0;9.5;57.4;22.2;0.3;6.5;104.6;11.6;203.4;518.2;51.2;3.5;0.3;46.6;6.6;1.0;0.3;0.05;0.04;0.03;38.4;51.7;<0.1;1.0;0.9;1.3;8.90
34705;Apple Pie, Soft, Low-Fat Milk;940;7.9;33.2;4.3;0;0.2;0;20.0;1.7;0;0.5;0.4;0.2;17.1;13.2;1.3;0.9;0.4;7.3;2.4;4.0;0.9;<0.1;0.6;1.8;1765;597;0;16;53.2;52.7;93.8;0.5;10.4;104.0;9.8;91.9;234.1;115.0;6.9;0.4;59.4;12.3;1.1;0.2;0.06;0.09;0.04;36.6;133.9;0.3;2.3;0.4;1.8;9.12
1185;Apple Pie With Quark Filling, Shortbread Crust;788;9.4;20.9;4.3;0;0.4;0;12.4;2.1;0;0.6;0.7;0.1;8.9;8.4;1.2;0.8;0.4;8.7;0.8;2.6;4.9;0.1;0.1;0.7;632;127;0;10;45.8;22.8;32.9;0.3;9.3;114.1;8.9;69.6;177.4;69.9;5.0;0.3;62.8;11.3;1.2;0.2;0.06;0.09;0.03;100.9;127.2;0.3;2.9;0.5;0.7;4.74
1531;Apple Rice Porridge, Water, Sugar;459;<0.1;25.8;0.6;0;0.1;0;18.8;1.7;0;0.5;0;0;16.6;7.0;0.7;0.5;0.3;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;20;3;0;0;0;9.2;5.0;0.2;1.2;53.1;4.9;1.7;4.3;13.2;1.5;0.1;8.7;1.3;0.2;0.2;0.02;<0.01;<0.01;<0.1;14.2;0;0.1;0;<0.1;0.62
33928;Applesauce, Sweetened;555;<0.1;31.6;0.1;0;0.3;0;31.5;3.0;0;0.8;0;0;27.7;<0.1;1.2;0.7;0.5;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;20;5;0;0;0;11.8;3.0;<0.1;2.0;74.0;2.8;0.6;1.6;5.8;0.2;<0.1;2.9;1.9;0.1;<0.1;0.04;<0.01;0.01;1.6;52.4;0;3.9;0;0.2;1.29
472;Applesauce, Unsweetened;188;0.1;9.5;0.2;0;0.4;0;9.4;6.4;N/A;2.1;0;0;0.9;0.1;1.8;N/A;N/A;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;24;5;0;0;0;18.3;4.0;<0.1;1.1;100.0;4.0;0.9;2.3;9.0;<0.1;<0.1;N/A;1.0;0.1;0.1;0.05;0.01;0.02;3.7;39.0;0;9.0;0;0.2;3.00
11054;Apricot, Average, Without Stone;223;0.1;10.6;1.1;0;0.4;0;10.6;3.0;0;3.0;0;0;4.6;0;1.9;1.4;0.8;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;32;28;0;0;0;15.9;31.0;0.4;1.0;160.0;8.8;2.0;5.1;11.0;1.0;0.3;9.0;5.0;0.7;0.5;0.05;0.05;0.04;66.9;1037.0;0;10.0;0;1.0;3.30
28921;Apricot, Average, With Stone;210;<0.1;10.0;1.0;0;0.4;0;10.0;2.8;0;2.8;0;0;4.3;0;1.8;1.3;0.8;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;30;26;0;0;0;14.9;29.1;0.4;0.9;150.4;8.3;1.9;4.8;10.3;0.9;0.3;8.5;4.7;0.6;0.5;0.05;0.05;0.04;62.9;974.8;0;9.4;0;0.9;3.10
408;Apricot, Canned, In Syrup;307;0.1;16.0;1.0;0;0.3;0;16.0;0.7;0;1.3;0;0;14.0;0;1.3;0.7;0.6;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;25;7;0;0;0;9.5;31.0;0.4;1.0;160.0;8.8;7.2;18.4;11.0;0.2;0.3;5.4;2.0;0.4;0.3;0.06;0.02;0.02;52.0;698.8;0;4.0;0;0.6;3.00
409;Apricot, Dried;923;0.5;43.4;5.2;0;1.5;0;43.4;10.0;0;20.8;0;0;12.6;0;7.3;3.8;4.6;0.4;0.2;<0.1;<0.1;0;<0.1;0.1;109;96;0;0;0;55.7;98.3;1.4;0;507.2;27.9;16.7;42.5;34.9;0.5;1.0;14.0;14.0;3.0;2.8;0.17;0.10;<0.01;230.7;3575.9;0;1.0;0;6.2;11.38
4008;Apricot Kissel, Apricot Soup;296;<0.1;16.1;0.6;0;0.2;0;13.4;1.1;0;2.3;0;<0.1;9.9;2.8;0.9;0.5;0.5;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;12;11;0;0;0;6.2;14.1;0.2;1.4;58.6;3.4;2.9;7.2;6.6;0.2;0.1;1.7;1.7;0.3;0.3;0.02;<0.01;<0.01;25.6;397.3;0;<0.1;0;0.7;1.26
31538;Apricot Puree, Unsweetened, With Added Vitamin C;242;0.1;11.8;1.0;0;0.4;0;10.1;2.9;0;2.9;0;0;4.4;1.7;1.8;1.3;0.8;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;30;26;0;0;0;15.2;29.7;0.4;0.9;152.1;8.4;1.9;5.0;10.7;1.0;0.3;8.6;3.3;0.5;0.5;0.05;0.04;0.03;57.2;985.1;0;30.0;0;0.9;3.13
1532;Apricot Rice Porridge, Water, Sugar;349;0.1;18.8;1.0;0;0.1;0;10.7;0.7;0;1.6;0;0;8.4;8.1;0.8;0.5;0.4;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;20;7;0;0;0;8.3;10.5;0.2;0.9;51.8;5.7;2.7;6.9;14.4;1.7;0.2;10.3;2.2;0.4;0.4;0.02;<0.01;<0.01;17.2;266.0;0;<0.1;0;0.5;0.86
35102;Aroma Rye Malt;1525;1.4;71.0;10.7;0;N/A;0;8.0;0.7;N/A;3.0;0;3.2;1.1;63.0;10.6;N/A;N/A;1.3;0.9;0.2;0.2;0;0.1;0.8;800;100;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;2.5;6.4;N/A;N/A;N/A;N/A;43.4;N/A;N/A;N/A;N/A;N/A;0;N/A;0;0;0;0;0
11196;Aromatic Salt, 71% Salt Content;312;1.3;11.7;1.8;0;<0.1;0;4.3;0.6;<0.1;0.7;0;<0.1;2.9;7.5;4.1;0.3;0.3;1.2;0.2;0.3;0.6;0.1;0.1;<0.1;72;107;0;0;0.7;12.8;312.7;5.3;6.6;255.2;151.3;27865.0;71000.0;90.2;0.5;0.6;18.9;28.0;0.6;0.3;0.18;0.07;0.02;2.2;120.8;0;2.2;0;0.7;94.10
32456;Artichoke;126;0.1;1.3;3.3;0;N/A;N/A;1.3;0.4;N/A;0.8;0;0;0.1;0;5.4;N/A;N/A;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;46;17;0;0;0;N/A;44.0;1.3;N/A;370.0;60.0;94.0;239.5;90.0;0.2;0.5;N/A;68.0;1.0;1.0;0.12;0.07;0.07;0.7;28.9;0;11.7;0;0.2;14.80
33583;Artichoke, Boiled;149;0.2;1.5;3.9;0;N/A;N/A;1.5;0.5;N/A;0.9;0;0;0.1;0;6.4;N/A;N/A;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;54;20;0;0;0;N/A;51.8;1.5;N/A;435.3;70.6;110.6;281.8;105.9;0.2;0.6;N/A;56.0;1.0;1.2;0.14;0.06;0.06;0.7;34.0;0;8.9;0;0.2;17.41
32729;Asparagus, Boiled Without Salt;135;0.6;2.0;2.9;0;0.1;0;1.9;1.1;N/A;0.7;0;0;0.1;0.1;3.5;0.9;0.8;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;15.0;27.0;0.7;N/A;260.0;13.0;1.0;2.5;72.0;0.2;0.7;15.0;122.5;1.0;1.0;0.06;0.05;0.12;37.3;315.0;0;7.8;0;1.1;40.00
340;Asparagus, Canned;64;0.2;1.2;1.2;0;0.3;0;1.2;0.7;N/A;0.3;0;0;0.2;0;1.5;1.3;0.2;0.2;0.1;<0.1;<0.1;0;<0.1;0.1;106;9;0;0;0;15.0;14.0;0.3;4.0;130.0;9.0;450.0;1146.6;30.0;1.0;0.4;21.0;96.0;1.3;1.0;0.17;0.17;0.16;2.7;32.0;0;33.0;0;0.3;N/A
11689;Asparagus, Raw, Cleaned;135;0.6;2.0;2.9;0;0.1;0;1.9;1.1;N/A;0.7;0;0;0.1;0.1;3.5;0.9;0.8;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;15.0;27.0;0.7;N/A;260.0;13.0;1.0;2.5;72.0;0.2;0.7;15.0;175.0;1.2;1.0;0.06;0.06;0.16;41.4;315.0;0;12.0;0;1.1;40.00
3239;Asparagus Soup, Canned Asparagus;310;6.1;2.8;1.6;0;0.5;0;0.8;0.1;<0.1;<0.1;0.5;<0.1;<0.1;2.0;0.4;0.3;<0.1;5.6;0.9;2.2;2.4;<0.1;0.2;0.7;670;188;0;14;55.7;15.0;25.6;0.3;9.4;50.2;5.4;470.9;1199.8;43.5;4.6;0.4;20.7;21.6;0.5;0.2;0.05;0.06;0.04;59.0;103.6;0.3;3.7;0.4;0.8;3.04
34582;Asparagus Soup, White Wine, Cream;218;3.3;2.8;1.3;0.2;0.3;0;1.3;0.4;<0.1;0.3;0.2;<0.1;0.3;1.5;1.1;0.3;0.3;2.9;0.6;1.2;1.1;<0.1;0.1;0.4;404;138;0;0;3.1;14.6;19.4;0.3;4.9;97.7;6.5;276.9;705.6;30.8;0.5;0.3;9.6;36.6;0.4;0.3;0.03;0.03;0.04;25.7;103.8;<0.1;2.7;<0.1;0.7;12.80
3030;Asparagus With Melted Butter;194;2.2;2.0;2.9;0;0.1;0;1.9;1.1;0;0.7;<0.1;0;<0.1;<0.1;3.4;0.9;0.8;1.5;<0.1;0.4;1.1;<0.1;<0.1;<0.1;21;7;0;0;3.6;14.7;26.9;0.7;<0.1;255.2;12.8;12.8;32.7;71.2;0.2;0.7;14.8;120.1;1.0;1.0;0.06;0.05;0.12;50.7;317.8;0;7.6;<0.1;1.1;39.57
362;Aubergine;94;0.2;3.1;0.5;0;0.4;0;2.9;1.3;N/A;1.3;0;0;0.3;0.2;2.5;1.9;0.6;0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;45;25;0;0;0;7.8;7.0;0.3;0;217.0;14.0;2.0;5.1;22.0;0;0;N/A;18.0;0.9;0.6;0.10;0.03;0.04;2.6;31.0;0;5.0;0;<0.1;6.00
3034;Aubergine, Fried;783;19.3;2.5;0.4;0;0.3;0;2.3;1.0;0;1.0;0;0;0.2;0.2;2.0;1.5;0.5;18.6;6.6;10.7;1.3;0;1.8;4.8;4769;1845;0;0;0.8;123.8;9.1;0.2;5.0;178.8;11.8;79.6;202.9;22.1;<0.1;<0.1;0;10.2;0.6;0.5;0.08;0.02;0.02;1.9;25.2;0;2.4;0;4.3;30.27
34511;Aubergine Chick Pea Salad, Yoghurt Dressing;428;7.5;5.5;2.1;0;0.3;0;2.6;1.1;0;0.8;0.4;<0.1;0.3;2.9;2.1;1.2;0.5;7.2;2.6;3.9;0.7;<0.1;0.7;1.9;1876;681;0;0;1.2;59.5;30.0;0.7;10.1;221.4;17.1;136.3;347.3;54.0;1.3;0.3;22.2;38.4;0.9;0.5;0.09;0.05;0.05;29.5;1590.8;<0.1;7.1;<0.1;1.8;18.68
3801;Aubergine Filled With Mushrooms;151;1.2;3.1;1.8;0;0.3;0;2.9;1.3;<0.1;1.3;0;0;0.3;0.2;2.5;2.0;0.6;1.0;0.2;0.3;0.4;<0.1;<0.1;0.2;183;59;0;0;1.6;26.1;31.2;0.6;8.6;310.5;16.6;121.4;309.4;61.8;3.8;0.2;21.3;25.6;2.5;2.2;0.20;0.15;0.05;31.1;1158.2;<0.1;21.1;<0.1;0.5;8.82
29028;Aubergine Filled With Tomato And Cheese;367;5.6;3.7;4.5;0;0.4;0;3.5;1.3;<0.1;1.1;0.9;0;0.2;0.1;1.8;1.1;0.4;5.2;1.2;2.3;1.6;<0.1;0.3;0.9;890;331;0;3;7.0;26.5;22.0;0.3;10.5;212.7;12.6;216.4;551.5;50.3;3.3;<0.1;67.0;10.9;1.8;0.6;0.10;0.08;0.04;71.2;1333.9;0.1;5.0;<0.1;1.1;10.98
11057;Avocado, Without Skin And Stone;829;19.4;0.8;2.6;0;N/A;0;0.7;0.1;0.1;0.4;0;0;<0.1;0.1;6.7;2.0;1.6;16.9;1.6;12.6;2.7;0;0.1;1.4;1446;124;0;0;0;75.3;15.0;0.5;1.0;400.0;29.0;6.0;15.3;31.0;0.4;0;25.0;11.0;1.5;1.1;0.42;0.16;0.07;5.2;406.5;0;10.2;0;2.1;20.00
33091;Avocado Oil;3700;100.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95.6;13.5;70.6;11.6;0;1.0;12.5;12530;957;0;0;0;N/A;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.0;N/A
34502;Avocado Pasta;686;10.8;11.1;4.7;0;0.1;0;0.3;<0.1;<0.1;0.1;0;0;<0.1;10.8;2.1;0.8;0.5;9.8;1.0;6.1;2.7;<0.1;<0.1;0.9;870;66;0;0;5.6;32.8;81.8;1.0;18.9;142.2;14.4;254.9;649.6;67.5;2.8;0.2;66.4;9.8;1.4;0.4;0.12;0.07;0.03;29.2;433.0;0.1;7.1;<0.1;1.1;11.37
34524;Avocado Quesadilla;782;9.2;18.3;6.1;0;0.4;0;1.6;0.6;<0.1;0.5;<0.1;0.2;0.2;16.7;2.5;1.0;0.6;8.4;1.4;4.3;2.6;<0.1;0.3;1.1;1066;273;0;0;7.2;41.7;147.8;0.5;18.5;197.7;18.5;306.3;780.5;119.7;4.9;0.7;77.4;10.2;1.7;0.6;0.14;0.09;0.04;52.4;1313.1;0.2;4.7;0.2;1.3;13.47
