id;name;energy,calculated (kJ);fat, total (g);carbohydrate, available (g);protein, total (g);alcohol (g);organic acids, total (g);sugar alcohols (g);sugars, total (g);fructose (g);galactose (g);glucose (g);lactose (g);maltose (g);sucrose (g);starch, total (g);fibre, total (g);fibre, water-insoluble (g);polysaccharides, non-cellulosic, water-soluble (g);fatty acids, total (g);fatty acids, total polyunsaturated (g);fatty acids, total monounsaturated cis (g);fatty acids, total saturated (g);fatty acids, total trans (g);fatty acids, total n-3 polyunsaturated (g);fatty acids, total n-6 polyunsaturated (g);fatty acid 18:2 cis,cis n-6 (linoleic acid) (mg);fatty acid 18:3 n-3 (alpha-linolenic acid) (mg);fatty acid 20:5 n-3 (EPA) (mg);fatty acid 22:6 n-3 (DHA) (mg);cholesterol (GC) (mg);sterols, total (mg);calcium (mg);iron, total (mg);iodide (iodine) (µg);potassium (mg);magnesium (mg);sodium (mg);salt (mg);phosphorus (mg);selenium, total (µg);zinc (mg);tryptophan (mg);folate, total (µg);niacin equivalents, total (mg);niacin, preformed (nicotinic acid + nicotinamide) (mg);vitamers pyridoxine (hydrochloride) (mg);riboflavine (mg);thiamin (vitamin B1) (mg);vitamin A  retinol activity equivalents (µg);carotenoids, total (µg);vitamin B-12 (cobalamin) (µg);vitamin C (ascorbic acid) (mg);vitamin D (µg);vitamin E  alphatocopherol (mg);vitamin K, total (µg)
29209;Couscous, Cooked With Oil And Salt;740;3.9;28.8;5.2;0;0;0;0.2;<0.1;0;<0.1;0;0;<0.1;28.6;2.3;1.2;0.4;3.6;1.4;1.9;0.3;0;0.3;1.0;1047;335;0;0;0.1;41.0;8.8;0.6;13.6;68.7;9.7;177.0;451.1;44.0;<0.1;0.4;73.8;13.3;1.3;0.5;0.05;0.02;0.03;0.1;2.0;0;0;0;0.8;4.96
32914;Couscous Salad With Goat Cheese, Oil-Based Dressing;507;7.7;6.5;5.8;0;<0.1;0;2.6;1.1;<0.1;1.0;0.2;0;0.2;3.9;1.5;0.9;0.5;7.4;0.4;2.2;4.4;0.3;<0.1;0.3;336;71;0;0;16.5;16.4;74.7;0.9;2.4;214.9;17.7;230.3;586.7;105.2;1.0;0.3;65.4;44.6;1.5;0.7;0.24;0.17;0.05;139.9;2063.5;<0.1;69.5;0.1;1.0;3.61
34501;Couscous Salad With Halloumi Cheese, Oil-Based Dressing;780;11.1;11.9;8.9;0;0.3;0;1.8;0.6;0;0.5;0.4;0;0.2;10.1;1.3;0.5;0.2;10.3;1.0;4.2;4.7;0.4;0.2;0.9;862;162;0;0;22.4;20.8;132.0;0.5;22.6;142.2;23.7;413.1;1052.6;165.0;5.7;1.2;322.6;14.1;5.6;0.3;0.06;0.09;0.03;99.2;1018.6;0.3;7.2;<0.1;0.8;3.75
441;Cranberry;134;0.1;4.6;0.4;0;1.4;0;4.5;1.9;<0.1;2.5;0;<0.1;<0.1;0.1;3.5;2.8;0.5;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;31;36;0;0;0;17.8;9.7;0.1;1.0;69.0;5.8;0.4;1.0;7.5;10.0;0.1;8.0;2.0;0.2;0.1;0.06;0.07;0.05;1.8;50.0;0;20.1;0;0.9;9.00
35580;Cranberry, Dried, Cranberry Powder;1123;5.4;20.6;6.0;0;7.0;0;19.9;8.1;<0.1;11.5;0;<0.1;0.3;0.7;47.4;37.8;6.8;4.1;3.4;0.4;0.3;0;1.8;1.6;1568;1793;0;0;0;890.0;82.0;7.1;50.0;450.0;48.0;2.5;6.4;120.0;10.0;1.3;400.0;100.0;11.7;5.0;3.00;3.50;2.50;89.5;2500.0;0;14.3;0;47.0;450.00
4402;Cranberry Kissel, Cranberry Soup;303;<0.1;17.1;<0.1;0;0.3;0;14.8;0.4;<0.1;0.5;0;<0.1;13.9;2.3;0.8;0.6;0.1;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;7;7;0;0;0;3.7;4.7;<0.1;1.7;16.3;1.4;0.9;2.3;3.8;2.2;<0.1;1.7;0.8;<0.1;<0.1;0.01;0.01;<0.01;0.3;10.4;0;2.7;0;0.2;1.88
30395;Cranberry-Lingonberryjuice, Unsweetened;147;0.4;6.7;0.5;0;1.8;0;6.3;3.0;<0.1;3.2;0;<0.1;0.1;0.4;0;0;0;0.2;0.2;<0.1;<0.1;0;<0.1;<0.1;78;90;0;0;0;22.9;15.8;0.3;1.0;74.5;7.4;1.2;3.1;12.3;5.0;0.1;8.0;10.8;0.4;0.3;0.03;0.04;0.06;1.3;40.6;0;15.4;0;1.2;9.00
1375;Crashed Rye Grain E And Rice Mix, Boiled, Salt;582;0.6;29.4;3.4;0;0;0;0.1;<0.1;0;<0.1;0;<0.1;<0.1;29.3;2.3;1.4;0.2;0.4;0.2;0.1;0.1;0;<0.1;0.2;181;19;0;0;0;18.3;9.7;0.7;25.5;114.4;37.6;389.2;991.7;108.5;1.1;0.9;35.4;7.9;2.2;1.6;0.05;0.03;0.15;<0.1;22.0;0;0;0;0.1;0.64
836;Crayfish;274;0.7;0;14.6;0;N/A;N/A;0;0;N/A;0;0;0;0;0;0;0;0;0.6;0.3;0.2;0.1;0;0.2;<0.1;52;32;104;38;185.0;1.0;58.0;3.6;85.0;70.0;22.0;230.0;586.0;110.0;50.0;1.3;222.0;37.0;5.9;2.2;2.10;0.04;<0.01;15.0;0;2.0;0;<0.1;2.9;0.10
28986;Crayfish, Boiled;343;0.9;0;18.3;0;N/A;N/A;0;0;N/A;0;0;0;0;0;0;0;0;0.8;0.4;0.2;0.2;0;0.2;0.1;65;40;130;48;231.2;1.2;72.5;4.5;106.2;87.5;27.5;287.5;732.5;137.5;62.5;1.6;277.5;32.4;5.9;2.8;2.62;0.04;<0.01;16.9;0;2.2;0;<0.1;3.6;0.12
633;Cream, Low-Fat, 1o% Fat, Low-Lactose;502;10.0;4.5;3.1;0;0.2;N/A;4.5;0;1.9;1.9;0.7;0;0;0;0;0;0;9.9;0.2;2.4;7.1;0.2;<0.1;0.1;101;36;0;0;28.0;0.1;100.0;<0.1;10.0;120.0;10.0;27.0;68.8;100.0;2.7;0.3;46.2;7.0;0.9;0.1;0.04;0.16;0.03;100.8;54.9;0.3;0.9;<0.1;0.2;0.88
11136;Cream, Low-Fat, 25% Fat;1057;27.0;3.0;1.3;0;<0.1;0;3.0;0;0;0;3.0;0;0;0;0;0;0;26.3;0.8;6.8;17.9;0.8;0.1;0.4;341;101;0;0;53.9;0;83.0;0.1;7.0;115.0;9.0;35.0;89.2;67.0;1.3;0.3;16.1;4.0;0.4;0.1;0.02;0.15;0.04;218.3;99.8;0.4;0.5;0.2;0.5;6.23
33924;Cream, Valio Strawberry/Chocolate, Lactose-Free;1532;37.0;7.8;1.8;0;<0.1;0;7.8;0;1.4;1.4;<0.1;0;5.0;0;0;0;0;35.1;0.9;8.5;24.7;1.1;0.1;0.5;473;142;0;0;75.2;0;72.1;<0.1;9.6;93.5;6.6;39.7;101.3;58.3;1.8;0.3;21.5;6.6;0.5;<0.1;0.02;0.15;0.02;321.5;141.8;0.2;0.7;0.2;0.7;10.97
31966;Cream, Vegetable Fat, 26% Fat, Flora;1069;26.0;4.5;1.7;0;<0.1;0;3.6;0;0.8;0.8;1.0;0;1.0;0.9;0;0;0;25.2;5.2;11.6;8.1;0.3;1.4;3.8;3797;1387;0;0;3.6;108.9;68.5;<0.1;7.9;90.6;6.8;54.0;137.7;50.5;1.4;0.2;24.7;2.8;0.5;<0.1;0.03;0.10;0.02;5.1;3.6;0.2;0.6;<0.1;3.1;22.02
